date,day,boo,workout,boo,boo,weight
30-Jul-18, Monday, Chest,Chest,,,
31-Jul-18, Tuesday, Back,Back,,,
02-Aug-18, Thursday, Bicep tricep,Bicep tricep,,,
03-Aug-18, Friday, Shoulder,Shoulder,,,
05-Aug-18, Sunday, Back,Back,,,
06-Aug-18, Monday, Chest,Chest,,,
07-Aug-18, Tuesday, Run cardio,Run cardio,,,
08-Aug-18, Wednesday, Abs tricep,Abs tricep,,,
09-Aug-18, Thursday, Shoulder,Shoulder,,,
10-Aug-18, Friday, Run cardio,Run cardio,,,
12-Aug-18, Sunday, Run cardio,Run cardio,,,
13-Aug-18, Monday, Chest,Chest,,,
14-Aug-18, Tuesday, Back,Back,,,
15-Aug-18, Wednesday, Bicep tricep,Bicep tricep,,,
17-Aug-18, Friday, Shoulder,Shoulder,77,8,77.8
19-Aug-18, Sunday, Run cardio,Run cardio,,,
20-Aug-18, Monday, Chest,Chest,,,
21-Aug-18, Tuesday, Back,Back,,,
23-Aug-18, Thursday, Shoulder,Shoulder,,,
24-Aug-18, Friday, Bicep tricep,Bicep tricep,78,2,78.2
26-Aug-18, Sunday, Run cardio,Run cardio,,,
27-Aug-18, Monday, Chest,Chest,,,
28-Aug-18, Tuesday, Back,Back,,,
29-Aug-18, Wednesday, Shoulder,Shoulder,,,
31-Aug-18, Friday, Bicep tricep,Bicep tricep,78,4,78.4
02-Sep-18, Sunday, Cycle cardio,Cycle cardio,,,
04-Sep-18, Tuesday, Chest,Chest,,,
05-Sep-18, Wednesday, Bicep tricep,Bicep tricep,,,
06-Sep-18, Thursday, Shoulder,Shoulder,,,
08-Sep-18, Saturday, Run cardio,Run cardio,78,0,78
09-Sep-18, Sunday, Back,Back,,,
10-Sep-18, Monday, Chest,Chest,,,
11-Sep-18, Tuesday, Bicep tricep,Bicep tricep,,,
13-Sep-18, Thursday, Shoulder,Shoulder,,,
14-Sep-18, Friday, Back,Back,79,2,79.2
16-Sep-18, Sunday, Chest,Chest,,,
17-Sep-18, Monday, Bicep tricep,Bicep tricep,,,
18-Sep-18, Tuesday, Run cardio,Run cardio,,,
20-Sep-18, Thursday, Shoulder,Shoulder,,,
21-Sep-18, Friday, Back,Back,78,6,78.6
23-Sep-18, Sunday, Cycle cardio,Cycle cardio,,,
24-Sep-18, Monday, Chest,Chest,,,
25-Sep-18, Tuesday, Back,Back,,,
26-Sep-18, Wednesday, Shoulder,Shoulder,,,
28-Sep-18, Friday, Chest,Chest,77,8,77.8
30-Sep-18, Sunday, Bicep tricep,Bicep tricep,,,
01-Oct-18, Monday, Shoulder,Shoulder,,,
02-Oct-18, Tuesday, Back,Back,,,
04-Oct-18, Thursday, Chest,Chest,,,
05-Oct-18, Friday, Back,Back,78,4,78.4
06-Oct-18, Saturday, Run cardio,Run cardio,,,
07-Oct-18, Sunday, Bicep tricep,Bicep tricep,,,
09-Oct-18, Tuesday, Shoulder,Shoulder,,,
10-Oct-18, Wednesday, Back,Back,,,
11-Oct-18, Thursday, Chest,Chest,77,6,77.6
14-Oct-18, Sunday, Cycle cardio,Cycle cardio,,,
15-Oct-18, Monday, Back,Back,,,
16-Oct-18, Tuesday, Run cardio,Run cardio,,,
17-Oct-18, Wednesday, Shoulder,Shoulder,,,
18-Oct-18, Thursday, Bicep tricep,Bicep tricep,,,
19-Oct-18, Friday, Chest,Chest,78,1,78.1
21-Oct-18, Sunday, Bicep tricep,Bicep tricep,,,
22-Oct-18, Monday, Shoulder,Shoulder,,,
23-Oct-18, Tuesday, Back,Back,,,
25-Oct-18, Thursday, Chest,Chest,,,
26-Oct-18, Friday, Back,Back,77,9,77.9
27-Oct-18, Saturday, Run cardio,Run cardio,,,
28-Oct-18, Sunday, Bicep tricep,Bicep tricep,,,
29-Oct-18, Monday, Shoulder,Shoulder,,,
30-Oct-18, Tuesday, Chest,Chest,,,
01-Nov-18, Thursday, Back,Back,,,
02-Nov-18, Friday, Chest,Chest,78,6,78.6
05-Nov-18, Monday, Run cardio,Run cardio,,,
06-Nov-18, Tuesday, Back,Back,,,
07-Nov-18, Wednesday, Shoulder,Shoulder,,,
